Day, Profit, AvgWaitAll, AvgWaitPrivilege, AvgWaitRegular
151, 6240, 184.52, 20.79, 361.90
152, 5910, 193.27, 32.61, 357.25
153, 4590, 211.81, 7.09, 362.40
154, 5910, 162.66, 13.27, 324.37
155, 5790, 160.63, 22.75, 319.04
156, 5280, 173.99, 28.78, 301.13
157, 6090, 182.60, 16.68, 362.71
158, 5610, 166.74, 21.64, 326.34
159, 5130, 164.35, 15.41, 319.64
160, 5160, 148.19, 10.25, 275.76
161, 5850, 156.75, 19.79, 320.60
162, 5400, 158.35, 11.92, 323.08
163, 6000, 257.63, 63.96, 465.89
164, 5280, 218.81, 52.83, 375.86
165, 5490, 183.44, 15.50, 353.23
166, 4770, 139.24, 5.40, 257.46
167, 4680, 151.86, 8.75, 277.28
168, 5250, 195.78, 10.26, 363.99
169, 5190, 163.27, 7.15, 311.66
170, 6150, 189.54, 30.12, 382.92
171, 5310, 151.62, 10.82, 287.06
172, 4950, 176.67, 33.02, 288.47
173, 5910, 208.67, 23.25, 407.20
174, 4830, 145.85, 8.67, 265.24
175, 5040, 204.87, 40.35, 357.58
176, 5010, 184.26, 20.73, 346.81
177, 5880, 140.79, 15.32, 301.53
178, 4620, 196.32, 9.27, 351.19
179, 5760, 205.10, 33.00, 380.85
180, 6360, 180.02, 30.87, 377.64
181, 4860, 201.77, 25.05, 368.21
182, 5070, 163.71, 16.58, 298.85
183, 5640, 165.75, 13.62, 331.07
184, 5040, 155.85, 11.54, 295.99
185, 4950, 177.48, 4.35, 320.32
186, 5010, 121.91, 6.30, 227.99
187, 5250, 199.45, 36.59, 344.85
188, 4830, 104.58, 5.67, 190.19
189, 5610, 160.55, 14.96, 318.83
190, 5430, 156.16, 6.74, 287.45
191, 5730, 168.19, 15.92, 325.40
192, 5370, 169.03, 19.88, 305.94
193, 4770, 134.69, 19.18, 233.97
194, 4830, 109.31, 10.84, 208.40
195, 4590, 145.72, 8.81, 268.94
196, 4980, 213.33, 43.93, 359.79
197, 5340, 213.74, 19.46, 376.86
198, 5100, 148.34, 21.60, 253.96
199, 5580, 177.00, 18.58, 333.72
200, 5250, 190.01, 20.79, 351.82
201, 5310, 183.95, 13.96, 346.58
202, 5280, 192.67, 9.54, 361.42
203, 5520, 172.85, 15.99, 351.01
204, 5610, 196.09, 25.77, 372.04
205, 4920, 199.24, 16.55, 352.89
206, 5370, 201.75, 27.16, 371.59
207, 4890, 164.98, 8.51, 315.91
208, 4650, 189.97, 20.84, 339.77
209, 5790, 197.27, 17.87, 370.40
210, 5010, 174.09, 20.17, 310.82
211, 5880, 181.76, 25.69, 359.61
212, 5610, 198.00, 22.76, 387.42
213, 5460, 200.62, 26.63, 369.05
214, 5160, 226.82, 30.84, 384.35
215, 5220, 190.19, 9.30, 352.42
216, 5880, 188.68, 36.30, 344.24
217, 5430, 165.54, 10.59, 309.36
218, 5460, 155.61, 16.65, 307.05
219, 4830, 142.49, 21.54, 268.13
220, 6240, 201.08, 35.81, 406.92
221, 5940, 216.78, 44.95, 413.44
222, 5070, 183.63, 20.91, 326.87
223, 5610, 198.65, 50.26, 355.42
224, 5160, 217.99, 33.23, 367.19
225, 5370, 216.59, 38.93, 383.96
226, 5670, 198.35, 28.33, 371.12
227, 5250, 152.41, 12.67, 277.83
228, 5670, 184.36, 18.56, 352.84
229, 5130, 173.66, 18.95, 331.13
230, 5940, 224.79, 37.56, 428.47
231, 5100, 173.08, 13.12, 332.10
232, 5040, 179.67, 13.62, 321.27
233, 5490, 177.68, 26.99, 338.00
234, 4770, 143.41, 8.72, 256.72
235, 5700, 197.34, 27.12, 384.29
236, 5160, 170.41, 35.19, 289.08
237, 5430, 196.40, 23.04, 354.08
238, 5430, 141.56, 11.45, 292.51
239, 6000, 199.21, 41.83, 380.11
240, 5130, 187.27, 19.32, 343.35
241, 5460, 120.44, 19.07, 227.71
242, 4860, 149.66, 9.50, 277.93
243, 5280, 183.81, 16.62, 332.43
244, 4890, 152.15, 9.29, 285.22
245, 5580, 266.26, 55.64, 472.45
246, 5070, 185.53, 14.53, 339.26
247, 5100, 156.45, 9.99, 292.50
248, 4860, 171.47, 24.35, 318.59
249, 4800, 194.38, 8.55, 334.62
250, 5340, 178.93, 14.42, 330.66
251, 4950, 141.53, 7.09, 258.29
252, 5010, 188.67, 14.05, 342.96
253, 5040, 161.24, 6.01, 299.95
254, 5250, 156.42, 11.03, 298.56
255, 5790, 147.67, 15.87, 303.74
256, 5370, 158.43, 22.75, 314.11
257, 5700, 193.13, 26.38, 376.25
258, 5820, 214.16, 51.72, 393.20
259, 5400, 150.89, 13.19, 291.72
260, 5820, 211.51, 23.50, 407.60
261, 4710, 145.75, 13.91, 250.82
262, 4830, 145.63, 9.62, 267.27
263, 4710, 154.67, 9.85, 284.59
264, 5070, 179.54, 12.86, 336.90
265, 5100, 185.12, 21.70, 320.64
266, 4830, 190.01, 18.84, 336.60
267, 5580, 154.38, 13.40, 310.46
268, 5670, 171.72, 17.20, 327.06
269, 5820, 177.64, 19.57, 365.76
270, 5190, 245.69, 41.14, 406.53
271, 4830, 132.60, 7.59, 246.30
272, 5490, 199.13, 28.36, 394.44
273, 5130, 201.45, 25.42, 356.60
274, 5580, 153.55, 11.44, 305.47
275, 5550, 182.71, 19.87, 374.60
276, 5490, 142.45, 11.01, 279.91
277, 5460, 175.24, 18.25, 345.32
278, 5220, 125.83, 10.36, 246.14
279, 4770, 171.97, 13.11, 310.00
280, 4920, 125.42, 18.11, 222.65
281, 4680, 155.31, 6.21, 296.27
282, 5550, 148.53, 11.67, 286.89
283, 5460, 193.12, 8.82, 347.70
284, 5520, 164.64, 16.64, 329.70
285, 6060, 162.79, 17.07, 333.91
286, 6180, 219.13, 46.44, 434.73
287, 5190, 178.86, 16.03, 327.91
288, 5730, 212.25, 17.61, 404.86
289, 5520, 134.78, 22.01, 274.97
290, 5670, 175.45, 28.19, 341.12
291, 5580, 146.82, 11.18, 290.18
292, 4500, 167.10, 13.90, 294.06
293, 5760, 191.46, 20.50, 348.51
294, 5640, 174.55, 19.64, 337.26
295, 4710, 145.75, 11.82, 273.19
296, 5400, 198.65, 39.02, 363.79
297, 4890, 136.84, 6.34, 248.79
298, 6000, 227.83, 37.03, 428.67
299, 4770, 148.55, 6.73, 273.14
300, 5130, 183.86, 10.40, 338.35
301, 5460, 169.02, 20.23, 335.15
302, 5550, 222.47, 33.60, 401.66
303, 5100, 160.52, 16.21, 297.57
304, 5130, 220.15, 21.66, 389.85
305, 5040, 236.38, 17.42, 412.38
306, 4890, 156.47, 21.27, 283.85
307, 5010, 171.58, 16.58, 319.50
308, 5880, 195.71, 23.74, 393.99
309, 5910, 192.28, 18.08, 390.65
310, 5160, 201.32, 25.34, 389.33
311, 5400, 167.17, 9.51, 309.05
312, 5730, 153.14, 10.19, 307.40
313, 4950, 157.67, 21.38, 298.21
314, 4830, 154.92, 9.06, 285.38
315, 5400, 181.51, 17.30, 345.71
316, 5580, 158.60, 14.44, 305.12
317, 5550, 154.34, 8.89, 300.59
318, 5040, 177.49, 17.20, 317.75
319, 4830, 157.05, 7.44, 287.95
320, 5610, 180.66, 13.05, 354.79
321, 5760, 191.64, 16.13, 389.86
322, 5610, 220.55, 38.16, 398.19
323, 5700, 210.29, 30.40, 386.47
324, 4650, 118.68, 5.75, 220.44
325, 5580, 208.07, 30.72, 398.75
326, 4800, 160.67, 13.89, 273.04
327, 5610, 257.69, 37.72, 441.33
328, 5100, 163.23, 18.27, 297.89
329, 5550, 168.13, 13.05, 320.75
330, 5880, 154.32, 22.29, 307.44
331, 5040, 193.21, 27.94, 350.08
332, 5130, 177.44, 12.35, 322.21
333, 5430, 196.40, 12.50, 383.39
334, 4950, 163.15, 8.71, 307.94
335, 5370, 145.29, 5.22, 286.93
336, 5310, 184.98, 11.77, 350.69
337, 5550, 170.00, 9.86, 344.26
338, 5190, 197.22, 11.68, 378.57
339, 6300, 230.78, 31.58, 464.49
340, 5220, 188.71, 24.32, 335.39
341, 4800, 159.85, 10.64, 293.97
342, 5190, 205.40, 11.97, 368.64
343, 5130, 185.10, 19.96, 344.64
344, 5160, 189.23, 16.29, 350.02
345, 5910, 191.96, 30.19, 367.07
346, 5100, 204.84, 15.89, 363.08
347, 5820, 226.18, 40.26, 412.11
348, 4890, 126.41, 9.26, 230.19
349, 5130, 189.13, 11.47, 354.23
350, 5700, 125.06, 20.05, 251.33
351, 5250, 187.21, 21.81, 342.84
352, 5730, 212.82, 48.04, 371.79
353, 4590, 141.30, 6.31, 264.24
354, 5280, 149.09, 19.62, 269.03
355, 4470, 162.32, 12.25, 288.66
356, 5340, 213.31, 18.83, 399.43
357, 4980, 161.71, 17.22, 297.99
358, 4980, 210.67, 26.55, 374.12
359, 4770, 165.32, 17.46, 284.06
360, 5160, 177.23, 14.42, 315.17
361, 5820, 141.62, 7.67, 286.80
362, 5130, 164.96, 27.42, 312.88
363, 4740, 161.63, 10.88, 290.37
364, 4920, 141.99, 7.28, 280.07
365, 5400, 188.71, 16.98, 344.82
366, 5130, 181.79, 13.45, 339.96
367, 4920, 153.96, 13.59, 277.08
368, 4590, 160.17, 4.79, 279.64
369, 4830, 182.68, 15.85, 328.67
370, 5880, 190.08, 28.32, 347.03
371, 5490, 205.14, 9.82, 361.22
372, 5220, 192.99, 19.52, 350.20
373, 5490, 165.18, 17.26, 332.27
374, 5610, 225.12, 58.78, 396.03
375, 5310, 210.26, 28.10, 382.69
376, 4620, 137.53, 6.49, 247.81
377, 5400, 195.40, 14.04, 354.63
378, 5010, 156.51, 12.62, 286.40
379, 5700, 139.49, 13.91, 298.57
380, 5820, 199.55, 44.23, 365.11
381, 5250, 138.58, 15.78, 257.97
382, 4770, 145.20, 20.77, 265.85
383, 5760, 185.86, 21.92, 352.41
384, 4290, 92.35, 5.10, 162.06
385, 5250, 161.81, 11.47, 316.58
386, 5250, 160.19, 9.55, 305.04
387, 5220, 163.09, 21.48, 322.07
388, 6060, 193.84, 33.83, 366.69
389, 4980, 166.89, 33.18, 303.91
390, 5490, 219.00, 25.53, 391.70
391, 5190, 167.42, 25.16, 313.91
392, 5190, 170.41, 25.80, 307.12
393, 5430, 184.89, 16.20, 355.47
394, 4590, 125.16, 8.28, 230.97
395, 4950, 198.80, 14.41, 358.92
396, 5670, 232.08, 49.50, 417.62
397, 5280, 197.17, 15.33, 366.50
398, 6030, 225.27, 40.17, 442.84
399, 5550, 193.47, 31.78, 371.52
400, 5520, 201.48, 19.86, 383.10
401, 5130, 153.72, 9.87, 277.94
402, 5340, 155.23, 5.84, 292.31
403, 4800, 187.70, 16.51, 321.96
404, 6120, 187.61, 35.06, 367.49
405, 5610, 173.16, 13.73, 339.72
406, 5280, 142.21, 8.66, 272.07
407, 5490, 141.97, 10.40, 281.15
408, 5610, 159.12, 15.73, 308.92
409, 4560, 171.56, 15.70, 307.71
410, 4530, 218.23, 16.81, 375.00
411, 5550, 181.38, 18.81, 351.31
412, 5970, 214.13, 60.92, 394.54
413, 4800, 177.70, 10.23, 304.69
414, 4740, 108.06, 5.65, 213.81
415, 4320, 135.82, 4.65, 234.72
416, 5310, 200.27, 11.92, 358.27
417, 5430, 201.94, 17.28, 357.40
418, 5040, 181.36, 20.40, 323.68
419, 5520, 181.37, 23.90, 347.89
420, 5460, 198.08, 11.69, 370.28
421, 4830, 172.32, 10.96, 306.22
422, 5160, 264.56, 39.78, 462.83
423, 5070, 161.85, 33.76, 302.42
424, 5610, 229.86, 56.34, 400.65
425, 5520, 208.30, 44.62, 371.98
426, 5190, 151.57, 11.97, 294.47
427, 5700, 170.70, 17.45, 339.01
428, 5280, 197.17, 18.95, 354.79
429, 4710, 131.85, 8.63, 247.00
430, 5730, 172.13, 33.21, 330.06
431, 5730, 231.09, 31.03, 414.81
432, 5580, 213.46, 39.73, 399.16
433, 5700, 194.33, 24.78, 364.78
434, 5460, 181.71, 19.66, 348.33
435, 5490, 205.85, 15.38, 369.49
436, 5250, 157.36, 10.12, 292.98
437, 4980, 213.12, 38.72, 365.48
438, 5460, 194.12, 20.82, 371.31
439, 6270, 213.34, 51.60, 401.14
440, 5910, 191.92, 29.53, 377.91
441, 4830, 153.90, 6.47, 279.49
442, 5310, 204.63, 12.62, 371.24
443, 5610, 167.08, 32.11, 302.05
444, 5310, 171.43, 17.18, 313.63
445, 6480, 253.82, 74.00, 468.42
446, 5190, 175.03, 12.37, 333.12
447, 4980, 187.42, 9.07, 336.94
448, 5280, 176.99, 18.91, 322.65
449, 6000, 192.45, 18.09, 384.05
450, 6060, 209.53, 20.47, 408.44
451, 5730, 191.14, 25.44, 360.40
452, 4560, 145.18, 9.88, 256.95
453, 5430, 187.53, 31.35, 342.86
454, 5160, 175.83, 30.84, 319.16
455, 4800, 141.17, 9.34, 270.57
456, 4740, 154.62, 7.47, 291.39
457, 5730, 164.15, 15.14, 325.86
458, 5430, 195.94, 11.87, 365.05
459, 5640, 184.14, 17.08, 351.20
460, 4980, 138.46, 13.01, 265.43
461, 5070, 158.53, 8.03, 301.42
462, 5010, 183.56, 13.25, 346.08
463, 4980, 171.72, 8.81, 296.92
464, 5550, 219.96, 42.91, 396.06
465, 4830, 129.73, 6.93, 233.25
466, 5010, 144.92, 7.86, 266.03
467, 5490, 147.48, 12.19, 303.18
468, 5640, 183.34, 18.64, 344.61
469, 4830, 205.90, 36.29, 353.52
470, 5160, 149.96, 9.43, 283.50
471, 5340, 160.51, 20.29, 299.94
472, 5370, 179.96, 29.73, 331.88
473, 4830, 147.88, 23.15, 258.82
474, 5070, 215.63, 45.44, 358.01
475, 4590, 161.92, 9.63, 282.65
476, 5280, 171.13, 16.02, 314.07
477, 5100, 167.30, 10.53, 332.85
478, 5400, 125.04, 11.27, 254.66
479, 5640, 173.14, 11.56, 345.73
480, 5250, 179.08, 13.16, 325.72
481, 5490, 204.01, 19.33, 394.96
482, 5100, 200.28, 24.22, 364.73
483, 6090, 191.31, 19.65, 377.66
484, 4830, 183.01, 22.74, 321.00
485, 4920, 125.78, 14.85, 230.32
486, 5070, 173.01, 8.68, 325.61
487, 5010, 190.18, 18.81, 355.62
488, 5040, 210.03, 25.85, 380.99
489, 5400, 197.44, 32.63, 357.81
490, 5400, 130.69, 9.74, 265.91
491, 5610, 217.44, 28.80, 410.20
492, 4770, 167.56, 13.52, 299.23
493, 5610, 234.88, 48.82, 407.13
494, 5550, 177.08, 18.93, 352.27
495, 5850, 212.73, 24.46, 395.37
496, 4950, 176.95, 16.23, 328.49
497, 5760, 203.74, 12.89, 385.14
498, 5310, 188.50, 23.13, 349.34
499, 4650, 116.81, 13.72, 202.25
500, 4980, 194.49, 16.29, 359.76
501, 5670, 222.41, 14.44, 407.81
502, 5190, 169.52, 10.78, 327.35
503, 5400, 158.85, 8.72, 310.67
504, 5490, 201.58, 18.83, 379.48
505, 5190, 147.49, 6.73, 286.64
506, 5310, 169.10, 9.26, 321.21
507, 4260, 130.76, 4.98, 222.35
508, 5700, 193.85, 8.92, 352.85
509, 5220, 194.13, 13.95, 361.78
510, 5400, 166.55, 13.05, 332.01
511, 5040, 144.93, 11.79, 268.50
512, 5160, 157.05, 10.03, 282.86
513, 4470, 132.68, 5.87, 235.37
514, 5610, 201.40, 22.23, 384.50
515, 5040, 185.29, 9.93, 338.73
516, 5040, 181.00, 10.65, 333.23
517, 5040, 190.50, 25.86, 345.02
518, 5490, 184.52, 13.47, 349.27
519, 5760, 193.98, 29.30, 362.16
520, 4920, 210.64, 34.59, 352.87
521, 5370, 171.33, 13.67, 327.25
522, 4920, 165.13, 15.26, 302.45
523, 4950, 191.38, 21.06, 351.97
524, 5730, 183.17, 29.86, 368.51
525, 5370, 185.63, 21.65, 355.31
526, 5040, 190.49, 15.13, 348.88
527, 5010, 169.62, 7.81, 308.19
528, 5070, 194.18, 34.29, 337.15
529, 4410, 139.54, 6.12, 255.58
530, 4680, 162.81, 9.61, 287.28
531, 5880, 171.45, 25.20, 338.12
532, 5490, 166.29, 18.33, 318.42
533, 5520, 172.04, 15.73, 320.30
534, 5670, 169.65, 16.18, 325.60
535, 5220, 189.62, 24.54, 349.20
536, 4620, 146.19, 6.86, 257.37
537, 5280, 175.81, 19.32, 323.88
538, 5190, 220.58, 20.06, 377.55
539, 5640, 218.14, 39.21, 393.35
540, 5460, 187.89, 32.02, 352.83
541, 5850, 202.33, 15.92, 378.78
542, 6060, 246.45, 47.90, 459.79
543, 4860, 171.63, 7.35, 311.70
544, 5370, 216.70, 44.91, 394.45
545, 4920, 193.06, 29.77, 339.40
546, 6000, 163.47, 27.12, 327.74
547, 5610, 136.67, 16.13, 281.15
548, 5280, 130.20, 8.29, 265.14
549, 4260, 129.92, 5.79, 226.23
550, 4830, 155.29, 18.30, 285.79
551, 5370, 196.07, 42.53, 361.63
552, 5400, 197.81, 32.89, 370.39
553, 5460, 158.16, 17.24, 299.09
554, 5310, 169.71, 10.45, 329.87
555, 4800, 161.19, 9.72, 292.90
556, 4710, 148.85, 15.80, 281.90
557, 4770, 150.38, 7.68, 280.03
558, 5250, 183.58, 18.52, 345.87
559, 5160, 190.30, 25.23, 344.60
560, 5220, 192.95, 11.78, 351.36
561, 5490, 227.50, 47.26, 419.27
562, 5280, 168.59, 8.33, 327.05
563, 5250, 189.47, 13.30, 330.90
564, 4980, 170.29, 30.74, 316.92
565, 5280, 192.12, 16.72, 351.24
566, 4710, 156.06, 7.11, 275.37
567, 5310, 173.32, 16.27, 316.61
568, 5610, 155.30, 9.30, 309.56
569, 5220, 199.75, 29.81, 357.88
570, 5100, 152.77, 6.43, 299.98
571, 4950, 198.02, 14.57, 353.26
572, 4920, 135.38, 6.22, 242.90
573, 5160, 161.90, 12.71, 309.38
574, 4980, 173.00, 9.15, 311.77
575, 4830, 200.80, 28.95, 358.91
576, 5400, 236.07, 39.33, 413.14
577, 5190, 213.26, 45.75, 357.44
578, 5100, 120.13, 17.24, 239.11
579, 4770, 127.10, 5.46, 222.84
580, 5580, 218.31, 41.23, 383.83
581, 5100, 152.81, 9.51, 292.02
582, 5670, 173.15, 15.34, 311.88
583, 5670, 177.68, 27.99, 349.15
584, 5610, 195.76, 24.29, 361.90
585, 5100, 143.37, 10.27, 278.06
586, 5490, 204.14, 9.26, 370.78
587, 5700, 214.02, 38.25, 388.88
588, 5610, 201.42, 13.26, 379.13
589, 5970, 210.18, 28.23, 387.67
590, 5280, 193.81, 13.14, 361.17
591, 4110, 102.59, 4.51, 178.50
592, 5940, 194.91, 24.29, 358.90
593, 4710, 183.44, 11.58, 333.34
594, 5100, 150.16, 11.94, 282.92
595, 5160, 157.27, 15.03, 302.04
596, 5490, 161.05, 13.30, 312.09
597, 5310, 128.78, 8.92, 261.36
598, 5400, 140.68, 9.94, 291.53
599, 5250, 159.91, 15.65, 299.38
600, 5850, 243.15, 45.40, 438.89
601, 5160, 172.24, 26.57, 316.23
602, 5790, 165.26, 11.87, 325.29
603, 5010, 196.24, 13.90, 351.60
