Day, Profit, AvgWaitAll, AvgWaitPrivilege, AvgWaitRegular
662, 5310, 212.36, 30.12, 376.10
663, 5580, 161.49, 18.69, 321.50
664, 5400, 224.44, 32.46, 396.37
665, 5400, 176.97, 19.00, 325.07
666, 4320, 173.98, 14.13, 289.07
667, 5160, 147.42, 7.77, 283.13
668, 5190, 153.67, 12.13, 306.70
669, 5160, 181.00, 9.70, 321.98
670, 4860, 122.46, 5.52, 233.25
671, 5190, 160.17, 10.61, 311.47
672, 5280, 235.83, 28.72, 412.78
673, 5730, 184.95, 27.99, 340.29
674, 5670, 154.99, 16.43, 304.62
675, 4860, 152.41, 7.73, 284.08
676, 5460, 175.52, 13.62, 328.19
677, 4530, 172.90, 10.22, 304.97
678, 5340, 188.82, 12.81, 342.41
679, 5490, 175.28, 14.12, 344.77
680, 4620, 119.64, 12.91, 211.45
681, 4770, 186.60, 19.76, 326.95
682, 5430, 204.74, 21.34, 363.58
683, 4440, 162.47, 7.91, 293.19
684, 5130, 220.01, 19.88, 394.61
685, 5460, 174.47, 22.33, 345.38
686, 5280, 170.58, 21.31, 314.92
687, 5160, 155.62, 16.20, 276.72
688, 5190, 190.26, 27.95, 330.66
689, 5460, 158.16, 14.85, 311.59
690, 4920, 170.56, 10.73, 305.68
691, 4410, 139.19, 5.08, 237.75
692, 5880, 175.79, 27.74, 351.66
693, 4410, 151.14, 6.21, 270.16
694, 5340, 165.82, 18.40, 322.02
695, 5670, 183.28, 21.68, 338.32
696, 5040, 162.02, 6.79, 297.14
697, 5340, 183.75, 17.27, 354.06
698, 5340, 198.27, 17.88, 366.38
699, 5430, 217.86, 19.76, 404.61
700, 5340, 197.29, 30.04, 358.20
701, 4560, 179.87, 8.37, 305.80
702, 4590, 172.46, 24.16, 313.39
703, 4830, 192.16, 15.27, 356.77
704, 5100, 167.63, 13.15, 308.82
705, 5730, 217.83, 28.93, 418.26
706, 5910, 207.96, 35.44, 397.84
707, 5310, 136.27, 7.66, 283.14
708, 4890, 135.29, 13.77, 256.81
709, 5250, 155.25, 13.55, 291.51
710, 5070, 182.95, 15.50, 329.59
711, 5880, 164.51, 12.79, 324.39
712, 5430, 170.90, 10.02, 317.22
713, 4860, 202.74, 14.01, 369.81
714, 4830, 161.39, 25.82, 290.55
715, 4830, 114.93, 9.14, 214.53
716, 4590, 175.88, 15.13, 304.65
717, 5190, 168.34, 16.62, 328.38
718, 6000, 144.76, 22.10, 281.81
719, 5640, 156.60, 16.36, 308.99
720, 5700, 206.22, 33.83, 375.06
721, 5220, 216.64, 25.26, 394.72
722, 4530, 120.44, 9.99, 218.55
723, 5280, 155.44, 11.14, 300.55
724, 5520, 197.82, 21.16, 376.43
725, 4710, 170.08, 13.12, 323.14
726, 5670, 224.55, 50.91, 408.92
727, 4890, 144.75, 15.39, 262.55
728, 6000, 191.83, 29.47, 388.62
729, 5700, 177.76, 10.48, 336.67
730, 6060, 253.16, 61.32, 466.09
731, 5430, 171.82, 23.21, 346.49
732, 5040, 181.17, 15.67, 345.68
733, 5310, 184.84, 33.60, 348.08
734, 5220, 166.88, 14.22, 309.69
735, 4410, 163.89, 6.99, 285.92
736, 5310, 192.24, 14.72, 369.77
737, 5070, 157.92, 10.70, 291.68
738, 4980, 168.98, 18.32, 307.93
739, 5910, 163.65, 16.14, 318.22
740, 5700, 162.03, 12.86, 317.76
741, 4830, 170.05, 18.52, 306.35
742, 4830, 150.48, 7.95, 269.99
743, 5790, 162.96, 25.35, 315.59
744, 5610, 196.02, 17.99, 375.98
745, 5580, 195.57, 13.12, 365.25
746, 4980, 158.03, 20.06, 270.31
747, 5190, 168.14, 10.78, 331.15
748, 4680, 160.95, 12.90, 293.68
749, 5760, 209.57, 38.77, 388.78
750, 4950, 170.58, 12.58, 320.41
751, 5070, 169.36, 16.80, 305.07
752, 5520, 171.74, 17.21, 327.12
753, 4350, 131.20, 13.11, 225.81
754, 5790, 186.81, 19.14, 349.42
755, 5910, 190.40, 12.15, 367.75
756, 5100, 146.38, 9.29, 290.23
757, 5430, 195.27, 40.07, 362.48
758, 5640, 210.13, 34.78, 401.80
759, 5400, 160.26, 11.72, 318.46
760, 5670, 171.76, 27.04, 322.05
761, 5280, 184.81, 23.69, 346.85
762, 4770, 148.57, 8.47, 258.84
763, 5460, 170.33, 32.50, 319.65
764, 5400, 180.26, 14.49, 331.73
765, 4800, 162.57, 10.37, 297.85
766, 4860, 170.24, 14.40, 303.11
767, 5430, 190.34, 39.77, 344.32
768, 5220, 166.02, 13.14, 312.98
769, 5160, 163.00, 10.88, 314.24
770, 5520, 188.15, 26.81, 354.94
771, 5340, 175.11, 37.41, 316.79
772, 5310, 173.37, 21.25, 315.08
773, 5640, 230.18, 36.06, 402.32
774, 5400, 179.64, 14.63, 361.86
775, 5490, 140.68, 10.45, 287.79
776, 6240, 226.62, 32.48, 447.30
777, 4560, 129.22, 5.92, 228.91
778, 5340, 146.16, 9.48, 292.72
779, 5130, 158.39, 12.21, 286.58
780, 5550, 176.88, 17.35, 341.76
781, 5400, 160.34, 13.42, 329.86
782, 4650, 165.57, 10.36, 307.92
783, 5580, 236.10, 33.79, 411.93
784, 4980, 183.79, 9.84, 327.45
785, 5790, 162.85, 16.18, 317.54
786, 5100, 153.72, 7.86, 293.82
787, 4950, 136.67, 9.68, 253.72
788, 5520, 186.80, 20.10, 349.96
789, 5670, 192.33, 20.54, 378.93
790, 5100, 169.71, 16.68, 324.55
791, 5010, 182.27, 10.32, 335.83
792, 5100, 170.61, 9.38, 326.35
793, 5430, 189.81, 24.61, 366.74
794, 4770, 142.58, 10.69, 257.79
795, 5460, 183.55, 32.19, 357.90
796, 5520, 140.63, 12.73, 276.67
797, 5670, 150.77, 15.53, 302.91
798, 5730, 181.31, 18.72, 350.08
799, 4860, 157.68, 10.36, 294.06
800, 5190, 212.28, 33.82, 392.83
801, 5520, 191.46, 9.14, 371.82
802, 5220, 198.87, 32.00, 361.08
803, 4260, 138.74, 7.21, 241.36
804, 4860, 141.69, 14.67, 263.45
805, 5400, 161.20, 15.66, 300.55
806, 5040, 155.45, 8.44, 293.42
807, 5250, 175.87, 17.64, 324.74
808, 5430, 218.55, 41.70, 380.22
809, 4650, 167.33, 11.11, 307.30
810, 5010, 150.23, 6.98, 292.63
811, 5100, 140.35, 8.20, 263.11
812, 5940, 270.01, 62.03, 475.91
813, 5550, 146.44, 11.84, 290.38
814, 5550, 186.02, 32.26, 352.38
815, 5370, 127.98, 14.22, 248.47
816, 5340, 160.53, 17.68, 307.51
817, 4980, 175.02, 8.85, 315.05
818, 5460, 198.41, 15.99, 367.80
819, 5640, 222.49, 35.27, 411.72
820, 4920, 161.46, 28.54, 283.24
821, 5550, 179.86, 21.25, 332.68
822, 5640, 235.74, 20.78, 419.44
823, 5100, 214.30, 33.14, 369.84
824, 5010, 139.81, 14.26, 251.34
825, 6030, 198.79, 28.11, 376.55
826, 6330, 166.60, 11.58, 352.45
827, 4710, 187.94, 9.28, 324.77
828, 5550, 213.93, 24.80, 402.05
829, 5010, 184.71, 13.00, 330.27
830, 5130, 157.22, 9.64, 301.43
831, 5220, 189.45, 17.99, 365.99
832, 4890, 220.15, 26.62, 378.67
833, 4770, 185.03, 15.75, 337.96
834, 5640, 180.36, 38.71, 338.88
835, 4650, 147.99, 5.25, 259.73
836, 5100, 211.76, 24.62, 377.46
837, 5490, 174.82, 11.40, 345.71
838, 5520, 161.44, 8.89, 314.83
839, 5040, 176.34, 16.82, 321.21
840, 5250, 210.57, 11.74, 377.06
841, 5340, 166.06, 21.01, 313.60
842, 4920, 194.49, 19.16, 333.41
843, 4740, 198.59, 13.06, 346.64
844, 4650, 174.09, 10.27, 318.36
845, 4770, 153.90, 12.42, 277.50
846, 5430, 197.79, 23.05, 380.60
847, 5700, 140.73, 20.10, 269.49
848, 5580, 219.20, 39.03, 381.09
849, 4800, 132.32, 11.33, 238.11
850, 5700, 251.12, 45.02, 451.94
851, 5070, 189.56, 37.58, 330.68
852, 5010, 157.22, 12.72, 299.18
853, 4800, 196.30, 17.71, 366.38
854, 6480, 254.59, 52.32, 485.76
855, 5280, 149.31, 15.24, 269.08
856, 4560, 146.03, 8.08, 261.88
857, 4950, 193.38, 15.98, 339.00
858, 5670, 193.44, 23.44, 366.18
859, 5130, 241.10, 43.77, 416.85
860, 5430, 153.03, 10.76, 295.30
861, 4890, 183.23, 12.24, 317.88
862, 5010, 216.03, 26.56, 379.97
863, 5670, 142.25, 12.60, 286.39
864, 5250, 123.79, 16.52, 225.81
865, 5160, 130.95, 13.91, 257.56
866, 5430, 160.63, 24.57, 307.22
867, 5190, 204.83, 26.90, 361.87
868, 4350, 145.40, 19.65, 253.94
869, 5610, 167.03, 9.77, 329.51
870, 5400, 225.85, 28.43, 424.38
871, 5670, 201.41, 27.94, 374.88
872, 5400, 194.83, 42.68, 335.99
873, 4620, 165.42, 13.71, 311.44
874, 5310, 124.47, 8.42, 252.84
875, 5400, 195.97, 16.79, 367.52
876, 4740, 148.23, 10.94, 268.75
877, 4920, 191.39, 32.02, 317.05
878, 5550, 204.28, 41.97, 387.38
879, 5430, 225.45, 37.25, 401.04
880, 5250, 142.87, 9.08, 266.11
881, 5430, 160.48, 6.57, 307.86
882, 5160, 145.07, 7.69, 272.10
883, 5790, 146.22, 13.49, 290.95
884, 5460, 184.23, 16.45, 341.63
885, 5160, 205.32, 42.18, 360.35
886, 5070, 167.15, 19.05, 300.99
887, 4890, 143.76, 27.11, 259.69
888, 5760, 191.35, 15.44, 362.81
889, 5280, 229.17, 49.44, 376.98
890, 5130, 152.93, 5.04, 287.44
891, 5850, 201.71, 25.98, 374.78
892, 4950, 170.67, 17.72, 331.41
893, 4320, 109.30, 4.98, 194.66
894, 5280, 165.01, 14.59, 324.50
895, 5760, 211.31, 36.83, 387.62
896, 4530, 88.41, 4.42, 165.75
897, 4890, 143.68, 7.21, 268.65
898, 5490, 166.86, 24.68, 312.22
899, 5190, 195.36, 23.26, 365.49
900, 5940, 191.00, 26.84, 369.58
901, 5340, 175.16, 12.22, 338.09
902, 5160, 182.73, 12.24, 332.35
903, 5670, 160.23, 20.18, 319.69
904, 5640, 180.69, 20.49, 348.00
905, 4740, 159.09, 9.65, 290.26
906, 5400, 163.39, 11.05, 328.58
907, 5310, 226.51, 43.69, 398.63
908, 5640, 193.51, 29.42, 366.82
909, 5010, 158.35, 9.45, 292.03
910, 5610, 192.16, 11.79, 364.24
911, 5370, 169.09, 28.36, 328.53
912, 5910, 196.90, 36.87, 384.55
913, 6390, 200.88, 37.19, 396.76
914, 6240, 180.91, 19.79, 369.17
915, 5400, 202.66, 19.19, 362.97
916, 4890, 167.71, 12.18, 307.01
917, 5880, 161.69, 21.74, 338.66
918, 4830, 191.76, 13.39, 327.22
919, 5130, 171.42, 25.65, 319.79
920, 4980, 156.54, 8.11, 282.89
921, 5100, 198.09, 28.56, 350.57
922, 5340, 154.85, 7.03, 294.80
923, 4500, 139.44, 11.76, 245.25
924, 4980, 180.49, 23.42, 330.34
925, 5190, 187.09, 13.14, 334.61
926, 5280, 176.63, 10.26, 324.52
927, 5340, 181.22, 12.43, 340.19
928, 4680, 167.55, 15.77, 294.85
929, 5040, 136.74, 8.01, 265.47
930, 4800, 168.98, 7.82, 316.32
931, 5040, 185.17, 10.67, 326.79
932, 4830, 146.36, 7.35, 269.34
933, 6360, 240.63, 50.91, 443.77
934, 5670, 184.95, 13.19, 346.46
935, 5820, 200.78, 19.07, 392.37
936, 5610, 207.84, 39.06, 399.13
937, 6030, 189.49, 22.22, 373.22
938, 5130, 121.84, 26.54, 212.37
939, 5820, 152.37, 15.19, 304.44
940, 5580, 192.90, 27.25, 361.26
941, 5010, 157.85, 26.86, 282.84
942, 4470, 134.09, 6.13, 227.55
943, 4650, 175.29, 11.23, 310.56
944, 4830, 170.82, 13.73, 309.03
945, 4350, 147.22, 11.34, 254.88
946, 5280, 146.32, 9.65, 285.36
947, 4650, 174.98, 17.09, 303.11
948, 5370, 188.97, 13.97, 363.97
949, 4980, 160.14, 12.62, 289.02
950, 4980, 161.17, 9.01, 298.44
951, 5310, 179.17, 31.81, 320.94
952, 5880, 229.13, 52.88, 428.81
953, 6120, 217.81, 45.73, 408.61
954, 4590, 155.20, 10.28, 262.84
955, 4770, 177.27, 13.85, 305.28
956, 6000, 218.89, 37.02, 399.85
957, 4740, 149.51, 11.17, 266.40
958, 4950, 170.17, 11.08, 306.89
959, 5070, 196.95, 13.59, 358.35
960, 5520, 160.41, 22.66, 319.82
961, 5310, 160.69, 15.80, 303.16
962, 5340, 173.64, 8.87, 340.29
963, 4680, 193.17, 7.55, 327.23
964, 5310, 233.62, 37.38, 413.60
965, 5400, 176.80, 11.09, 330.55
966, 5550, 161.74, 19.79, 302.17
967, 5190, 161.36, 32.58, 287.95
968, 4830, 183.40, 13.79, 334.27
969, 5460, 168.44, 11.98, 315.99
970, 5730, 253.02, 41.13, 466.04
971, 4980, 165.99, 10.11, 295.36
972, 5220, 192.72, 23.56, 339.16
973, 5370, 185.86, 13.45, 351.78
974, 5490, 207.03, 21.81, 381.74
975, 4650, 140.71, 5.36, 262.69
976, 5730, 192.60, 18.19, 388.55
977, 5280, 210.52, 42.64, 356.78
978, 5490, 160.01, 10.84, 316.01
979, 5400, 224.54, 51.53, 377.21
980, 5040, 193.99, 12.62, 366.14
981, 5160, 146.48, 14.59, 285.66
982, 6000, 242.16, 51.19, 443.17
983, 5280, 133.10, 9.78, 263.08
984, 5370, 185.45, 28.03, 334.54
985, 6030, 204.72, 24.18, 398.76
986, 5190, 136.03, 8.67, 261.93
987, 5760, 266.59, 49.23, 482.82
988, 4710, 119.31, 5.93, 220.46
989, 5910, 169.24, 23.68, 340.96
990, 5100, 187.69, 9.13, 334.33
991, 5640, 192.06, 33.20, 344.44
992, 4800, 142.24, 8.91, 268.48
993, 4980, 204.40, 14.41, 350.40
994, 5820, 210.33, 34.81, 392.41
995, 5700, 232.47, 34.10, 447.84
996, 5040, 222.48, 24.30, 395.88
997, 5700, 208.93, 31.52, 379.17
998, 5250, 175.20, 13.86, 313.61
999, 5610, 205.75, 16.95, 395.57
1000, 5550, 198.88, 16.00, 384.77
